id,app_version,year,manufacturer,user_agent
43acea2e-5d4b-4016-8599-647047248c81,7.9.7,2012,Kwinu,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
6639fbbf-d157-466d-8b5d-3d84bfa2be05,0.7.1,2012,Skiba,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.60 Safari/537.17"
ef9bae51-03f0-4d1b-8147-c864476f5804,1.20,1994,Topicblab,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; fr) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
24a4a035-2f2f-4a1c-8ae9-4ab856e18f6f,0.8.9,2011,Jatri,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
40703e1f-97d9-4437-9b76-495ca01ff697,0.8.6,1987,Oyoloo,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.834.0 Safari/535.1"
809da04a-7e68-4412-ad63-64a364b3fb20,0.20,1996,Browsetype,Mozilla/5.0 (Windows NT 6.2; rv:9.0.1) Gecko/20100101 Firefox/9.0.1
63420e58-ab54-4f9c-a545-9a3fbe6fd190,0.5.1,1997,Geba,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.04 Chromium/14.0.814.0 Chrome/14.0.814.0 Safari/535.1"
be2400a7-28d8-4da1-a1f1-29c162e596b1,0.1.6,2010,Jayo,Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0
17fbd6d1-e099-443e-abb4-c5ff45863b30,0.70,2012,Avamm,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0
d9fb1866-ee3a-473e-82eb-b7acbb444c12,0.70,2000,Eazzy,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
4e22be8d-4154-4d9c-93fa-cff1295d45fd,4.45,1994,Zoozzy,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/534.16+ (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
dd8f0629-4509-4e58-a4f8-eb7140ad958c,7.1.6,2009,BlogXS,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/11.0.686.3 Safari/534.23"
20aa8127-0c6b-43a1-bcb5-39954b80c028,5.19,2009,Tavu,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36"
8110ce62-5de0-477b-ab53-0ce20308317f,0.6.9,1997,Rhynyx,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13"
464243ba-90ec-4102-8669-26d2756bf394,0.19,1997,Youspan,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-gb) AppleWebKit/528.10+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2"
4b5e6471-3205-481f-aca4-3e0d8473e957,4.0.7,1993,Feednation,Mozilla/5.0 (compatible; Windows; U; Windows NT 6.2; WOW64; en-US; rv:12.0) Gecko/20120403211507 Firefox/12.0
a5d5ac56-dd32-4d7f-b231-5ae2086a7fc9,0.6.7,1989,Demizz,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/13.0.748.0 Safari/534.31"
b60cd5b3-74ea-4e1d-9a9b-dea231dece40,8.3,1998,Meemm,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.16) Gecko/20120427 Firefox/15.0a1
b0285586-8ef8-4d77-9cad-98cd4aea6aea,3.9,1992,Demimbu,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36"
